iter	Passed	Remaining
0	3	70353
1	5	58022
2	8	54629
3	10	51939
4	13	55836
5	16	53975
6	18	51662
7	22	55532
8	24	54820
9	26	53271
10	30	54648
11	32	54033
12	34	52676
13	36	52773
14	38	51672
15	41	51876
16	43	51582
17	47	53122
18	51	54160
19	55	55042
20	60	57717
21	63	57241
22	66	57424
23	69	57718
24	72	58193
25	74	57588
26	80	59330
27	82	58988
28	86	59578
29	88	59091
30	91	58785
31	94	59159
32	97	58738
33	98	58068
34	101	57699
35	104	58100
36	106	57690
37	109	57724
38	112	57721
39	114	57189
40	117	57432
41	121	57729
42	123	57197
43	126	57548
44	129	57507
45	132	57362
46	135	57625
47	137	57317
48	140	57191
49	143	57321
50	146	57137
51	148	56810
52	152	57220
53	157	58297
54	161	58552
55	163	58129
56	167	58699
57	170	58790
58	174	58986
59	176	58794
60	178	58310
61	180	57977
62	184	58455
63	186	58169
64	189	58188
65	194	58601
66	196	58401
67	202	59290
68	207	59909
69	210	59812
70	212	59507
71	216	59957
72	218	59766
73	221	59651
74	224	59733
75	226	59451
76	228	59199
77	231	59182
78	234	59058
79	236	58905
80	240	59037
81	242	58792
82	243	58475
83	248	58839
84	251	59001
85	255	59231
86	260	59531
87	264	59840
88	266	59691
89	269	59629
90	272	59676
91	275	59598
92	279	59891
93	282	59805
94	285	59873
95	288	59772
96	291	59737
97	303	61684
98	308	61988
99	313	62422
100	317	62609
101	321	62752
102	324	62629
103	328	62849
104	330	62694
105	332	62405
106	337	62676
107	339	62592
108	342	62439
109	345	62511
110	350	62755
111	355	63102
112	357	62900
113	360	62854
114	362	62634
115	364	62429
116	368	62681
117	371	62575
118	373	62394
119	379	62791
120	380	62574
121	386	62907
122	388	62741
123	393	63013
124	395	62887
125	397	62725
126	401	62810
127	404	62806
128	409	63080
129	411	62903
130	415	62993
131	418	62978
132	420	62756
133	422	62703
134	426	62772
135	428	62581
136	433	62840
137	435	62719
138	439	62759
139	441	62637
140	448	63215
141	451	63130
142	453	62985
143	456	62995
144	459	62859
145	461	62728
146	465	62803
147	469	62996
148	472	62912
149	474	62729
150	475	62522
151	478	62433
152	481	62468
153	483	62336
154	485	62191
155	488	62171
156	490	61997
