iter	RMSE
0	0.8280831909
1	0.7950231528
2	0.7639719598
3	0.7345447386
4	0.7067841082
5	0.6808430691
6	0.6570131178
7	0.6346640556
8	0.6124225141
9	0.592034851
10	0.5732348851
11	0.5556085374
12	0.5400360671
13	0.5249038655
14	0.5104294886
15	0.4966594542
16	0.4840189428
17	0.4717522414
18	0.4607112332
19	0.4508079038
20	0.4408206732
21	0.4315520472
22	0.4232572642
23	0.4153135433
24	0.4080208167
25	0.4010984209
26	0.3950385691
27	0.3894703175
28	0.3837419144
29	0.378471088
30	0.3737756161
31	0.3694798765
32	0.3652468752
33	0.3615186249
34	0.3577684565
35	0.3540842782
36	0.3511575856
37	0.3482146632
38	0.3456449112
39	0.3430605835
40	0.340483146
41	0.3383242005
42	0.3359889616
43	0.3339821785
44	0.3318780957
45	0.3303559798
46	0.3285024196
47	0.3267801084
48	0.3251174904
49	0.3234641508
50	0.3221916136
51	0.3209158214
52	0.3198238155
53	0.3184001607
54	0.3174449625
55	0.3164246446
56	0.3153990124
57	0.3142628006
58	0.3133349902
59	0.312493161
60	0.3116635773
61	0.3105298802
62	0.3097496026
63	0.3090598071
64	0.3083094913
65	0.3074250785
66	0.3065955794
67	0.3059172348
68	0.3054350689
69	0.3049377004
70	0.3044145259
71	0.3039047122
72	0.303371149
73	0.3026974248
74	0.3022119429
75	0.3016934875
76	0.3010482644
77	0.3005957356
78	0.3000179778
79	0.2995784808
80	0.2991942602
81	0.2986425981
82	0.2980253222
83	0.2977587806
84	0.2974293044
85	0.296827351
86	0.2963725002
87	0.2958792172
88	0.2953395204
89	0.294725091
90	0.2943900073
91	0.2939924692
92	0.2936085971
93	0.2931921101
94	0.2927711923
95	0.2924573295
96	0.2920537184
97	0.2913972929
98	0.2909399383
99	0.2905963893
100	0.2902616324
101	0.2899268666
102	0.2894962281
103	0.2890592015
104	0.2882651709
105	0.287655954
106	0.2872876769
107	0.2869717713
108	0.2867633397
109	0.2862436465
110	0.2859205807
111	0.2857567093
112	0.2855919684
113	0.2852357112
114	0.2847002809
115	0.2844644918
116	0.2841241849
117	0.2838388733
118	0.2836930722
119	0.2832948987
120	0.2829022069
121	0.2825941492
122	0.2822877412
123	0.2819316693
124	0.28166395
125	0.2813414615
126	0.2810454725
127	0.280707122
128	0.2802629977
129	0.2798347755
130	0.279714128
131	0.2793644241
132	0.2791749816
133	0.2790665583
134	0.2786319826
135	0.2783496103
136	0.278020163
137	0.2774200114
138	0.2771111938
139	0.2768518525
140	0.2765417977
141	0.2761752852
142	0.2759721815
143	0.275841942
144	0.2755239326
145	0.2752765804
146	0.2748202304
147	0.2744385399
148	0.2741786091
149	0.2737659335
150	0.273541408
151	0.2733598577
152	0.2730166604
153	0.2728935545
154	0.2725030103
155	0.2722700604
156	0.272071485
157	0.2714719986
158	0.2710924121
159	0.2708992126
160	0.2704817195
161	0.2701115031
162	0.2699164584
163	0.2697208078
164	0.2695521906
165	0.2693314034
166	0.2692471498
167	0.2689150212
168	0.2687348534
169	0.2683900598
170	0.2680492252
171	0.2677869979
172	0.2675245018
173	0.2673608161
174	0.26725981
175	0.2670649178
176	0.266926123
177	0.2667724995
178	0.2665053762
179	0.266262511
180	0.2659247675
181	0.2657002335
182	0.2653104477
183	0.2651496472
184	0.2650268143
185	0.2648374116
186	0.2646173039
187	0.2643511171
188	0.2641222767
189	0.2639808265
190	0.2638065981
191	0.2636606928
192	0.2634547076
193	0.2632631251
194	0.2629018315
195	0.2626936233
196	0.2624909527
197	0.2621902707
198	0.2620728815
199	0.2619552999
200	0.2617972249
201	0.2615522022
202	0.261480288
203	0.2612169113
204	0.2608521829
205	0.2607041512
206	0.2605929751
207	0.2602893542
208	0.2601823828
209	0.2599681402
210	0.2597871747
211	0.2595715251
212	0.2594173346
213	0.259212512
214	0.2590671915
215	0.2589528144
216	0.258779256
217	0.258587524
218	0.2583790469
219	0.2582459425
220	0.2579432686
221	0.2577801063
222	0.2575682176
223	0.2574569625
224	0.2573041298
225	0.2572150581
226	0.2570162724
227	0.2568160741
228	0.2566793633
229	0.2564793287
230	0.2563060631
231	0.2560088268
232	0.2557259922
233	0.2556153616
234	0.255369472
235	0.2552532391
236	0.2551274498
237	0.2549465748
238	0.2547257216
239	0.2544652647
240	0.254361752
241	0.2541382351
242	0.2540059204
243	0.253883103
244	0.2537042303
245	0.253528433
246	0.2533878268
247	0.2532696074
248	0.2530485356
249	0.2529500948
250	0.2527638936
251	0.2525330281
252	0.2523952834
253	0.2522804199
254	0.2520428886
255	0.2518592682
256	0.2517556285
257	0.2515181828
258	0.2514026499
259	0.2511466904
260	0.2509371075
261	0.2507655966
262	0.2505551391
263	0.2503587544
264	0.2502012917
265	0.2499698257
266	0.2498359699
267	0.2497248544
268	0.2495875549
269	0.2493158652
270	0.2491649284
271	0.248984011
272	0.2488970411
273	0.2487752183
274	0.2486708291
275	0.2485239205
276	0.2483079899
277	0.2479982864
278	0.2478940016
279	0.2477871441
280	0.2476770878
281	0.2473387671
282	0.2470230572
283	0.246742082
284	0.2465856328
285	0.2464187941
286	0.2462459218
287	0.2460909258
288	0.2460017859
289	0.245868559
290	0.2456948011
291	0.2454976506
292	0.2453184858
293	0.245151644
294	0.2450899983
295	0.2449718439
296	0.2448762992
297	0.2447850129
298	0.2445228334
299	0.2443548077
300	0.2440479095
301	0.2439537737
302	0.2438314114
303	0.2436302055
304	0.2434502248
305	0.2431553337
306	0.243034688
307	0.2429066439
308	0.2427730315
309	0.2425694414
310	0.2422996798
311	0.2420770924
312	0.2419199751
313	0.241805911
314	0.2415235792
315	0.2413320981
316	0.241138356
317	0.2409461114
318	0.2408565065
319	0.2407414606
320	0.2406008032
321	0.2404477035
322	0.2403048296
323	0.2400638006
324	0.2399295759
325	0.2398326638
326	0.239761255
327	0.2396064083
328	0.2394704172
329	0.2392580153
330	0.2390928257
331	0.2388697396
332	0.2387274827
333	0.2383961307
334	0.238201819
335	0.2380589421
336	0.2379468887
337	0.237775335
338	0.2376444578
339	0.2375495245
340	0.2374727544
341	0.2372323762
342	0.2371375136
343	0.2369567083
344	0.2367245761
345	0.2365308637
346	0.236376409
347	0.2361524211
348	0.2360495566
349	0.2358590922
350	0.2357251046
351	0.2355796335
352	0.235398434
353	0.2352386282
354	0.2351287395
355	0.2349794009
356	0.2348769599
357	0.2347836492
358	0.2346585935
359	0.2345281155
360	0.2343378142
361	0.2340773404
362	0.233821963
363	0.2336592437
364	0.2335780559
365	0.2334025318
366	0.233306518
367	0.2332380813
368	0.2331966973
369	0.2330520362
370	0.2329093411
371	0.2327577952
372	0.2324653638
373	0.2323623264
374	0.2322064712
375	0.2320424528
376	0.2319861745
377	0.2319020497
378	0.2316557355
379	0.2314541641
380	0.2311980179
381	0.2311042346
382	0.2310181831
383	0.2309127402
384	0.2308129373
385	0.2307169042
386	0.2305870705
387	0.2304899127
388	0.2303013122
389	0.230187592
390	0.2299907394
391	0.2299114401
392	0.2298287638
393	0.2297246362
394	0.2296199862
395	0.2294392201
396	0.2293261053
397	0.2291705117
398	0.2290421687
399	0.2289428545
400	0.228790836
401	0.2286869214
402	0.2285978676
403	0.228497507
404	0.2283731397
405	0.2282824044
406	0.2281859909
407	0.2279946561
408	0.2278505731
409	0.2277799861
410	0.2276511576
411	0.2275791373
412	0.2274762607
413	0.2272893137
414	0.2272754309
415	0.2270947224
416	0.2269013344
417	0.2268332896
418	0.2267815982
419	0.2265571067
420	0.2263450936
421	0.2260831049
422	0.2259887614
423	0.2258066712
424	0.2257000477
425	0.2255336932
426	0.2253035581
427	0.2252235796
428	0.2251193379
429	0.2249735115
430	0.2249727752
431	0.2248598863
432	0.2247048408
433	0.224624469
434	0.2244507448
435	0.2244061969
436	0.2243287974
437	0.2241920276
438	0.2239721802
439	0.2238387169
440	0.2237292464
441	0.2235957878
442	0.223457601
443	0.2234274577
444	0.22329314
445	0.2231862339
446	0.2231335021
447	0.2229036319
448	0.2226844531
449	0.2226260195
450	0.2224636513
451	0.2222202223
452	0.222030256
453	0.2219439762
454	0.2218468777
455	0.2217048025
456	0.2215663127
457	0.2214857677
458	0.2213163484
459	0.2211918064
460	0.221132352
461	0.221042622
462	0.2209179637
463	0.2208500779
464	0.2207540477
465	0.2206622514
466	0.2204513879
467	0.2203588988
