iter	Passed	Remaining
0	6	6095
1	11	5740
2	16	5363
3	20	5214
4	25	5145
5	30	4987
6	35	5001
7	40	5013
8	45	4965
9	49	4877
10	53	4837
11	58	4796
12	62	4773
13	67	4769
14	71	4719
15	77	4743
16	81	4724
17	86	4715
18	91	4709
19	95	4680
20	100	4674
21	104	4654
22	109	4642
23	113	4629
24	118	4620
25	122	4604
26	127	4577
27	131	4569
28	136	4555
29	140	4542
30	145	4546
31	149	4528
32	154	4516
33	158	4513
34	163	4499
35	167	4480
36	172	4479
37	176	4466
38	181	4470
39	185	4452
40	189	4443
41	194	4439
42	199	4429
43	203	4419
44	207	4401
45	211	4388
46	216	4386
47	220	4380
48	225	4369
49	229	4364
50	233	4352
51	238	4348
52	243	4347
53	248	4345
54	252	4330
55	256	4327
56	261	4329
57	265	4318
58	271	4323
59	276	4325
60	281	4330
61	285	4320
62	290	4316
63	294	4309
64	299	4302
65	303	4295
66	308	4289
67	312	4283
68	316	4275
69	321	4272
70	325	4263
71	330	4256
72	334	4250
73	339	4247
74	344	4247
75	349	4249
76	354	4246
77	358	4237
78	362	4230
79	367	4226
80	372	4223
81	376	4216
82	381	4210
83	385	4206
84	390	4200
85	395	4198
86	399	4191
87	404	4188
88	409	4186
89	413	4179
90	417	4172
91	422	4166
92	427	4164
93	431	4158
94	436	4156
95	440	4150
96	445	4143
97	449	4137
98	454	4135
99	459	4131
100	463	4124
101	467	4116
102	472	4112
103	477	4111
104	481	4106
105	486	4103
106	490	4097
107	495	4091
108	499	4085
109	504	4077
110	508	4071
111	512	4063
112	517	4065
113	523	4070
114	528	4064
115	532	4061
116	536	4052
117	541	4050
118	546	4043
119	550	4037
120	555	4032
121	559	4026
122	566	4036
123	573	4051
124	579	4056
125	585	4064
126	591	4063
127	596	4061
128	601	4062
129	606	4058
130	611	4054
131	615	4048
132	620	4041
133	624	4035
134	629	4031
135	633	4027
136	638	4024
137	644	4023
138	649	4023
139	654	4020
140	659	4017
141	664	4013
142	669	4010
143	673	4006
144	678	4003
145	683	3997
146	688	3992
147	693	3993
148	698	3989
149	703	3986
150	707	3979
151	712	3973
152	717	3972
153	722	3968
154	727	3964
155	731	3958
156	736	3955
157	741	3949
158	745	3944
159	751	3947
160	756	3942
161	761	3937
162	765	3931
163	770	3927
164	774	3920
165	779	3917
166	784	3912
167	789	3909
168	794	3904
169	798	3897
170	803	3894
171	807	3887
172	812	3883
173	817	3881
174	822	3877
175	827	3875
176	832	3872
177	837	3869
178	842	3866
179	847	3859
180	852	3856
181	857	3852
182	861	3845
183	865	3839
184	871	3838
185	876	3834
186	880	3828
187	885	3824
188	889	3818
189	894	3812
190	899	3809
191	904	3804
192	909	3801
193	913	3795
194	918	3790
195	922	3784
196	927	3781
197	932	3777
198	936	3770
199	941	3765
200	946	3761
201	950	3755
202	955	3751
203	960	3748
204	965	3743
205	970	3738
206	975	3737
207	983	3744
208	989	3746
209	1016	3823
210	1032	3861
211	1043	3877
212	1048	3874
213	1053	3868
214	1058	3863
215	1062	3857
216	1067	3851
217	1072	3845
218	1076	3839
219	1081	3833
220	1085	3826
221	1090	3820
222	1095	3816
223	1100	3812
224	1105	3807
225	1109	3801
226	1114	3794
227	1118	3787
228	1123	3781
229	1128	3777
230	1133	3774
231	1138	3768
232	1143	3762
233	1147	3756
234	1152	3750
235	1156	3744
236	1162	3741
237	1167	3736
238	1171	3730
239	1176	3726
240	1181	3719
241	1186	3715
242	1190	3709
243	1195	3704
244	1200	3700
245	1205	3694
246	1209	3688
247	1214	3682
248	1219	3677
249	1225	3676
250	1230	3671
251	1235	3667
252	1240	3662
253	1244	3656
254	1249	3650
255	1254	3644
256	1258	3639
257	1263	3632
258	1267	3626
259	1273	3625
260	1278	3619
261	1283	3615
262	1288	3610
263	1293	3605
264	1297	3599
265	1302	3592
266	1307	3588
267	1311	3582
268	1316	3577
269	1320	3571
270	1326	3567
271	1331	3563
272	1336	3559
273	1342	3556
274	1347	3551
275	1351	3545
276	1356	3540
277	1360	3534
278	1366	3530
279	1372	3528
280	1379	3528
281	1383	3523
282	1389	3519
283	1393	3514
284	1398	3508
285	1402	3502
286	1407	3496
287	1411	3490
288	1416	3485
289	1420	3478
290	1425	3473
291	1430	3467
292	1434	3461
293	1439	3456
294	1443	3450
295	1448	3445
296	1455	3445
297	1460	3439
298	1464	3434
299	1469	3428
300	1474	3424
301	1480	3421
302	1485	3417
303	1490	3412
304	1495	3407
305	1499	3401
306	1504	3396
307	1509	3390
308	1514	3386
309	1518	3380
310	1523	3374
311	1527	3368
312	1531	3362
313	1536	3356
314	1540	3350
315	1545	3345
316	1550	3339
317	1555	3335
318	1560	3330
319	1564	3325
320	1569	3320
321	1574	3315
322	1579	3311
323	1585	3307
324	1589	3301
325	1594	3295
326	1599	3291
327	1604	3287
328	1609	3282
329	1614	3277
330	1619	3272
331	1624	3267
332	1628	3262
333	1633	3257
334	1637	3251
335	1642	3245
336	1646	3239
337	1651	3234
338	1655	3228
339	1661	3225
340	1666	3220
341	1673	3219
342	1680	3218
343	1684	3212
344	1689	3208
345	1694	3202
346	1698	3196
347	1704	3193
348	1710	3189
349	1714	3184
350	1719	3178
351	1723	3173
352	1728	3167
353	1732	3162
354	1737	3156
355	1741	3150
356	1746	3145
357	1751	3140
358	1755	3135
359	1760	3130
360	1766	3126
361	1770	3120
362	1775	3115
363	1780	3110
364	1785	3106
365	1790	3101
366	1794	3095
367	1799	3090
368	1804	3085
369	1809	3080
370	1813	3074
371	1818	3069
372	1823	3064
373	1828	3060
374	1833	3055
375	1837	3049
376	1842	3044
377	1847	3039
378	1852	3034
379	1856	3029
380	1861	3023
381	1865	3018
382	1870	3013
383	1875	3008
384	1880	3003
385	1884	2997
386	1888	2991
387	1894	2987
388	1898	2981
389	1903	2976
390	1908	2972
391	1913	2967
392	1917	2962
393	1922	2956
394	1926	2950
395	1931	2945
396	1935	2940
397	1940	2934
398	1944	2929
399	1949	2923
400	1953	2918
401	1958	2912
402	1962	2907
403	1967	2902
404	1972	2897
405	1976	2891
406	1980	2886
407	1987	2883
408	1991	2878
409	1996	2873
410	2001	2868
411	2006	2863
412	2010	2858
413	2015	2853
414	2018	2845
415	2023	2840
416	2028	2835
417	2032	2829
418	2038	2826
419	2044	2823
420	2050	2820
421	2058	2819
422	2064	2815
423	2071	2814
424	2085	2821
425	2093	2821
426	2102	2821
427	2110	2820
428	2118	2820
429	2127	2819
430	2131	2814
431	2136	2809
432	2141	2804
433	2146	2798
434	2150	2793
435	2155	2787
436	2159	2782
437	2164	2777
438	2169	2771
439	2173	2766
440	2178	2761
441	2182	2755
442	2187	2750
443	2190	2743
444	2195	2737
445	2199	2732
446	2204	2727
447	2209	2722
448	2213	2716
449	2218	2711
450	2222	2705
451	2227	2700
452	2231	2694
453	2236	2689
454	2241	2684
455	2245	2679
456	2251	2674
457	2257	2671
458	2262	2666
459	2268	2662
460	2273	2658
461	2278	2653
462	2284	2649
463	2290	2645
464	2295	2641
465	2301	2636
466	2306	2632
467	2310	2626
468	2315	2621
469	2320	2616
470	2326	2613
471	2332	2608
472	2339	2606
473	2345	2603
474	2351	2598
475	2355	2593
476	2361	2589
477	2368	2586
478	2374	2582
479	2381	2579
480	2388	2576
481	2393	2572
482	2398	2567
483	2403	2562
484	2407	2556
485	2411	2550
486	2416	2545
487	2421	2540
488	2425	2534
489	2430	2529
490	2435	2524
491	2439	2518
492	2443	2513
493	2449	2508
494	2453	2503
495	2457	2497
496	2462	2491
497	2466	2486
498	2471	2481
499	2476	2476
500	2481	2471
501	2485	2465
502	2490	2460
503	2494	2455
504	2498	2449
505	2503	2444
506	2508	2438
507	2512	2433
508	2516	2427
509	2521	2422
510	2525	2416
511	2530	2411
512	2534	2405
513	2538	2400
514	2543	2395
515	2548	2390
516	2552	2384
517	2557	2379
518	2561	2373
519	2566	2368
520	2571	2363
521	2575	2358
522	2580	2353
523	2585	2348
524	2589	2343
525	2595	2338
526	2601	2334
527	2607	2331
528	2613	2327
529	2619	2323
530	2624	2318
531	2630	2314
532	2635	2309
533	2639	2303
534	2644	2298
535	2649	2293
536	2654	2288
537	2659	2283
538	2663	2278
539	2668	2272
540	2672	2267
541	2677	2262
542	2681	2257
543	2688	2253
544	2693	2248
545	2698	2243
546	2703	2238
547	2708	2234
548	2713	2229
549	2718	2223
550	2722	2218
551	2726	2212
552	2731	2207
553	2735	2202
554	2740	2197
555	2745	2192
556	2749	2187
557	2754	2181
558	2758	2176
559	2763	2171
560	2768	2166
561	2772	2160
562	2777	2155
563	2782	2151
564	2788	2146
565	2793	2142
566	2798	2137
567	2804	2132
568	2809	2128
569	2814	2123
570	2820	2118
571	2826	2114
572	2832	2110
573	2837	2106
574	2844	2102
575	2850	2098
576	2854	2092
577	2859	2087
578	2863	2082
579	2868	2076
580	2872	2071
581	2877	2066
582	2882	2061
583	2887	2056
584	2891	2051
585	2896	2046
586	2901	2041
587	2906	2036
588	2911	2031
589	2915	2026
590	2920	2021
591	2924	2015
592	2929	2010
593	2934	2005
594	2939	2000
595	2943	1995
596	2948	1990
597	2954	1985
598	2958	1980
599	2963	1975
600	2967	1970
601	2972	1965
602	2977	1960
603	2981	1955
604	2986	1949
605	2990	1944
606	2995	1939
607	2999	1934
608	3003	1928
609	3008	1923
610	3012	1918
611	3017	1913
612	3022	1907
613	3027	1903
614	3031	1897
615	3036	1893
616	3041	1888
617	3046	1883
618	3051	1878
619	3056	1873
620	3061	1868
621	3065	1862
622	3070	1857
623	3074	1852
624	3079	1847
625	3084	1842
626	3089	1838
627	3096	1834
628	3106	1832
629	3118	1831
630	3128	1829
631	3138	1827
632	3147	1824
633	3155	1821
634	3164	1818
635	3173	1816
636	3181	1812
637	3190	1810
638	3199	1807
639	3206	1803
640	3215	1800
641	3223	1797
642	3233	1795
643	3242	1792
644	3248	1787
645	3256	1784
646	3265	1781
647	3275	1779
648	3284	1776
649	3289	1771
650	3294	1766
651	3298	1760
652	3303	1755
653	3307	1749
654	3312	1744
655	3316	1739
656	3321	1733
657	3325	1728
658	3330	1723
659	3335	1718
660	3340	1713
661	3345	1708
662	3350	1703
663	3355	1697
664	3362	1693
665	3367	1688
666	3371	1683
667	3376	1678
668	3381	1673
669	3385	1667
670	3390	1662
671	3394	1656
672	3399	1651
673	3404	1646
674	3408	1641
675	3412	1635
676	3417	1630
677	3421	1625
678	3425	1619
679	3430	1614
680	3434	1608
681	3439	1603
682	3443	1598
683	3448	1593
684	3453	1587
685	3457	1582
686	3463	1577
687	3467	1572
688	3472	1567
689	3476	1561
690	3481	1556
691	3486	1551
692	3490	1546
693	3495	1541
694	3499	1535
695	3504	1530
696	3509	1525
697	3513	1520
698	3518	1515
699	3523	1510
700	3528	1504
701	3532	1499
702	3537	1494
703	3541	1489
704	3546	1483
705	3550	1478
706	3555	1473
707	3560	1468
708	3565	1463
709	3570	1458
710	3574	1452
711	3579	1447
712	3584	1442
713	3588	1437
714	3594	1432
715	3623	1437
716	3634	1434
717	3645	1431
718	3650	1426
719	3655	1421
720	3660	1416
721	3665	1411
722	3669	1406
723	3674	1400
724	3678	1395
725	3683	1390
726	3688	1385
727	3693	1379
728	3697	1374
729	3702	1369
730	3706	1364
731	3711	1358
732	3716	1353
733	3720	1348
734	3725	1343
735	3730	1338
736	3734	1332
737	3738	1327
738	3743	1322
739	3748	1317
740	3753	1311
741	3758	1306
742	3763	1301
743	3767	1296
744	3772	1291
745	3776	1285
746	3781	1280
747	3786	1275
748	3791	1270
749	3796	1265
750	3800	1260
751	3804	1254
752	3809	1249
753	3813	1244
754	3818	1239
755	3823	1233
756	3827	1228
757	3831	1223
758	3836	1218
759	3841	1212
760	3846	1208
761	3851	1202
762	3856	1197
763	3861	1192
764	3866	1187
765	3870	1182
766	3875	1177
767	3879	1172
768	3884	1166
769	3889	1161
770	3894	1156
